#jobid serverid start end frequency
0 0 0 5 1
1 0 5 10 1
2 0 10 15 1
3 0 15 20 1
4 0 20 25 1
5 0 25 29 1
6 0 29 34 1
7 0 34 39 1
8 0 39 44 1
9 0 44 49 1
1 0 49 54 1
1 0 54 59 1
2 0 59 64 1
2 0 64 69 1
6 0 106 111 1
6 0 206 211 1
7 0 211 216 1
7 0 216 221 1
0 0 221 226 1
2 0 226 227 1
3 0 227 232 1
4 0 232 237 1
6 0 237 242 1
7 0 242 247 1
2 0 247 248 1
2 0 248 249 1
6 0 249 254 1
6 0 254 259 1
7 0 259 264 1
7 0 264 269 1
6 0 269 274 1
6 0 274 279 1
6 0 279 284 1
6 0 284 289 1
6 0 289 294 1
6 0 294 299 1
